date_sitename,co_max,co_aqi_val,no2_max,no2_aqi_val,ozone_max,ozone_aqi_val,pm10_mean,pm10_aqi_val,pm2.5_mean,pm2.5_aqi_val,so2_max,so2_aqi_val,cumulitive_aqi,high,low
"03/22/2017, GT Craig NCore",0.3,3.0,20.0,19.0,,,,,1.2,5.0,0.0,0.0,19.0,33,23
"03/23/2017, GT Craig NCore",0.6,7.0,45.0,42.0,0.036,33.0,,,10.0,42.0,3.0,4.0,42.0,51,18
"03/24/2017, GT Craig NCore",0.5,6.0,20.0,19.0,0.05,46.0,,,13.5,54.0,2.0,3.0,54.0,74,42
"03/25/2017, GT Craig NCore",0.6,7.0,42.0,40.0,0.022,20.0,,,15.2,58.0,3.0,4.0,58.0,66,42
"03/26/2017, GT Craig NCore",0.5,6.0,28.0,26.0,0.029,27.0,,,12.4,52.0,3.0,4.0,52.0,68,42
"03/27/2017, GT Craig NCore",0.3,3.0,19.0,18.0,0.025,23.0,,,7.7,32.0,0.0,0.0,32.0,64,54
"03/28/2017, GT Craig NCore",0.4,5.0,33.0,31.0,0.027,25.0,,,5.8,24.0,0.0,0.0,31.0,54,39
"03/29/2017, GT Craig NCore",0.3,3.0,32.0,30.0,0.034,31.0,,,5.8,24.0,0.0,0.0,31.0,53,38
"03/30/2017, GT Craig NCore",0.3,3.0,19.0,18.0,0.026,24.0,,,5.6,23.0,0.0,0.0,24.0,53,43
"03/31/2017, GT Craig NCore",0.4,5.0,30.0,28.0,0.028,26.0,,,7.1,30.0,0.0,0.0,30.0,60,39
"04/01/2017, GT Craig NCore",0.3,3.0,28.0,26.0,0.044,41.0,,,6.2,26.0,1.0,1.0,41.0,49,37
"04/02/2017, GT Craig NCore",0.5,6.0,29.0,27.0,0.041,38.0,,,11.7,49.0,2.0,3.0,49.0,61,36
"04/03/2017, GT Craig NCore",,,21.0,20.0,0.037,34.0,,,9.4,39.0,6.0,9.0,39.0,74,50
"04/04/2017, GT Craig NCore",0.3,3.0,,,0.036,33.0,,,5.3,22.0,0.0,0.0,33.0,61,49
