date_county,Daily Max 1-hour NO2 Concentration,DAILY_AQI_VALUE
"10/21/2017, Cuyahoga",33,31
"10/22/2017, Cuyahoga",19,18
"10/23/2017, Cuyahoga",29,27
"10/26/2017, Cuyahoga",32,30
"10/27/2017, Cuyahoga",25,24
"10/28/2017, Cuyahoga",9,8
"10/29/2017, Cuyahoga",15,14
"10/30/2017, Cuyahoga",14,13
"10/31/2017, Cuyahoga",25,24
"11/01/2017, Cuyahoga",25,24
"11/02/2017, Cuyahoga",23,22
"11/03/2017, Cuyahoga",15,14
"11/04/2017, Cuyahoga",19,18
"11/05/2017, Cuyahoga",11,10
"11/06/2017, Cuyahoga",11,10
"11/07/2017, Cuyahoga",14,13
"11/08/2017, Cuyahoga",34,32
"11/09/2017, Cuyahoga",30,28
"11/11/2017, Cuyahoga",30,28
"11/12/2017, Cuyahoga",35,33
"11/13/2017, Cuyahoga",32,30
"11/14/2017, Cuyahoga",32,30
"11/15/2017, Cuyahoga",27,25
"11/16/2017, Cuyahoga",11,10
"11/17/2017, Cuyahoga",12,11
"11/18/2017, Cuyahoga",18,17
"11/19/2017, Cuyahoga",3,3
"11/20/2017, Cuyahoga",16,15
"11/21/2017, Cuyahoga",16,15
"11/22/2017, Cuyahoga",22,21
"11/23/2017, Cuyahoga",17,16
"11/24/2017, Cuyahoga",20,19
"11/25/2017, Cuyahoga",10,9
"11/26/2017, Cuyahoga",11,10
"11/29/2017, Cuyahoga",19,18
"11/30/2017, Cuyahoga",35,33
"12/01/2017, Cuyahoga",39,37
"12/02/2017, Cuyahoga",36,34
"12/03/2017, Cuyahoga",39,37
"12/04/2017, Cuyahoga",34,32
"12/06/2017, Cuyahoga",11,10
"12/07/2017, Cuyahoga",21,20
"12/08/2017, Cuyahoga",16,15
"12/09/2017, Cuyahoga",23,22
"12/10/2017, Cuyahoga",13,12
"12/11/2017, Cuyahoga",22,21
"12/12/2017, Cuyahoga",15,14
"12/13/2017, Cuyahoga",17,16
"12/14/2017, Cuyahoga",27,25
"12/15/2017, Cuyahoga",20,19
"12/16/2017, Cuyahoga",29,27
"12/17/2017, Cuyahoga",31,29
"12/18/2017, Cuyahoga",16,15
"12/19/2017, Cuyahoga",12,11
"12/20/2017, Cuyahoga",36,34
"12/21/2017, Cuyahoga",27,25
"12/22/2017, Cuyahoga",27,25
"12/23/2017, Cuyahoga",18,17
"12/24/2017, Cuyahoga",28,26
"12/25/2017, Cuyahoga",8,8
"12/26/2017, Cuyahoga",13,12
"12/27/2017, Cuyahoga",29,27
"12/28/2017, Cuyahoga",31,29
"12/29/2017, Cuyahoga",19,18
"12/30/2017, Cuyahoga",16,15
"12/31/2017, Cuyahoga",27,25
"01/01/2017, Cuyahoga",24,23
"01/02/2017, Cuyahoga",9,8
"01/03/2017, Cuyahoga",22,21
"01/04/2017, Cuyahoga",9,8
"01/05/2017, Cuyahoga",18,17
"01/06/2017, Cuyahoga",34,32
"01/07/2017, Cuyahoga",23,22
"01/08/2017, Cuyahoga",12,11
"01/09/2017, Cuyahoga",16,15
"01/10/2017, Cuyahoga",10,9
"01/12/2017, Cuyahoga",25,24
"01/13/2017, Cuyahoga",16,15
"01/14/2017, Cuyahoga",28,26
"01/15/2017, Cuyahoga",30,28
"01/16/2017, Cuyahoga",28,26
"01/17/2017, Cuyahoga",20,19
"01/18/2017, Cuyahoga",17,16
"01/19/2017, Cuyahoga",17,16
"01/20/2017, Cuyahoga",21,20
"01/21/2017, Cuyahoga",23,22
"01/22/2017, Cuyahoga",11,10
"01/23/2017, Cuyahoga",8,8
"01/26/2017, Cuyahoga",11,10
"01/27/2017, Cuyahoga",16,15
"01/28/2017, Cuyahoga",9,8
"01/29/2017, Cuyahoga",22,21
"01/30/2017, Cuyahoga",23,22
"01/31/2017, Cuyahoga",27,25
"02/01/2017, Cuyahoga",40,38
"02/02/2017, Cuyahoga",20,19
"02/03/2017, Cuyahoga",27,25
"02/04/2017, Cuyahoga",36,34
"02/05/2017, Cuyahoga",12,11
"02/06/2017, Cuyahoga",33,31
"02/07/2017, Cuyahoga",19,18
"02/08/2017, Cuyahoga",16,15
"02/09/2017, Cuyahoga",13,12
"02/10/2017, Cuyahoga",26,25
"02/11/2017, Cuyahoga",34,32
"02/12/2017, Cuyahoga",14,13
"02/13/2017, Cuyahoga",42,40
"02/14/2017, Cuyahoga",39,37
"02/15/2017, Cuyahoga",10,9
"02/16/2017, Cuyahoga",23,22
"02/17/2017, Cuyahoga",35,33
"02/18/2017, Cuyahoga",20,19
"02/19/2017, Cuyahoga",23,22
"02/20/2017, Cuyahoga",19,18
"02/21/2017, Cuyahoga",35,33
"02/22/2017, Cuyahoga",34,32
"02/23/2017, Cuyahoga",20,19
"02/24/2017, Cuyahoga",15,14
"02/28/2017, Cuyahoga",21,20
"03/01/2017, Cuyahoga",18,17
"03/02/2017, Cuyahoga",10,9
"03/03/2017, Cuyahoga",18,17
"03/04/2017, Cuyahoga",12,11
"03/05/2017, Cuyahoga",7,7
"03/06/2017, Cuyahoga",24,23
"03/07/2017, Cuyahoga",19,18
"03/08/2017, Cuyahoga",13,12
"03/09/2017, Cuyahoga",16,15
"03/10/2017, Cuyahoga",10,9
"03/11/2017, Cuyahoga",24,23
"03/12/2017, Cuyahoga",13,12
"03/13/2017, Cuyahoga",4,4
"03/14/2017, Cuyahoga",11,10
"03/15/2017, Cuyahoga",7,7
"03/16/2017, Cuyahoga",45,42
"03/17/2017, Cuyahoga",47,44
"03/18/2017, Cuyahoga",14,13
"03/19/2017, Cuyahoga",21,20
"03/20/2017, Cuyahoga",21,20
"03/21/2017, Cuyahoga",30,28
"03/22/2017, Cuyahoga",17,16
"03/23/2017, Cuyahoga",23,22
"03/24/2017, Cuyahoga",13,12
"03/25/2017, Cuyahoga",17,16
"03/26/2017, Cuyahoga",5,5
"03/27/2017, Cuyahoga",19,18
"03/28/2017, Cuyahoga",21,20
"03/29/2017, Cuyahoga",9,8
