date_sitename,co_max,co_aqi_val,no2_max,no2_aqi_val,ozone_max,ozone_aqi_val,pm10_mean,pm10_aqi_val,pm2.5_mean,pm2.5_aqi_val,so2_max,so2_aqi_val
"01/07/2017, GT Craig NCore",0.3,3.0,26.0,25.0,0.03,28.0,30.0,28.0,13.4,54.0,0.0,0.0
"01/07/2017, GT Craig NCore",0.3,3.0,26.0,25.0,0.03,28.0,30.0,28.0,13.4,54.0,0.5,0.0
"01/07/2017, GT Craig NCore",0.3,3.0,26.0,25.0,0.03,28.0,17.0,16.0,15.7,59.0,0.0,0.0
"01/07/2017, GT Craig NCore",0.3,3.0,26.0,25.0,0.03,28.0,17.0,16.0,15.7,59.0,0.5,0.0
"01/07/2017, GT Craig NCore",0.3,3.0,26.0,25.0,0.03,28.0,17.0,16.0,13.4,54.0,0.0,0.0
"01/07/2017, GT Craig NCore",0.3,3.0,26.0,25.0,0.03,28.0,17.0,16.0,13.4,54.0,0.5,0.0
"01/07/2017, Galleria",0.5,6.0,,,,,,,,,,
"01/07/2017, Harvard Yards",,,,,,,23.0,21.0,15.9,59.0,0.0,0.0
"01/07/2017, Mentor",0.5,6.0,,,,,,,,,,
"01/07/2017, Painesville",,,,,,,,,12.4,52.0,2.0,3.0
"01/07/2017, Painesville",,,,,,,,,12.4,52.0,2.0,3.0
"01/07/2017, Painesville",,,,,,,,,7.1,30.0,2.0,3.0
"01/07/2017, St Theodosius",,,,,,,35.0,32.0,18.0,63.0,0.0,0.0
"01/08/2017, Barr School",,,,,,,,,1.6,7.0,,
"01/08/2017, Chippewa",,,,,,,,,5.5,23.0,,
"01/08/2017, Cleveland Fire St13",,,,,,,,,,,0.0,0.0
"01/08/2017, Cleveland Near Road",0.3,3.0,12.0,11.0,,,,,,,,
"01/08/2017, Eastlake",,,,,,,,,,,2.0,3.0
"01/08/2017, GT Craig NCore",0.2,2.0,9.0,8.0,0.032,30.0,10.0,9.0,1.5,6.0,1.0,1.0
"01/08/2017, GT Craig NCore",0.2,2.0,9.0,8.0,0.032,30.0,10.0,9.0,1.5,6.0,1.5,1.0
"01/08/2017, Galleria",0.4,5.0,,,,,,,,,,
"01/08/2017, Harvard Yards",,,,,,,,,,,0.0,0.0
"01/08/2017, Mentor",0.4,5.0,,,,,,,,,,
"01/08/2017, Painesville",,,,,,,,,4.3,18.0,0.0,0.0
"01/08/2017, St Theodosius",,,,,,,16.0,15.0,,,0.0,0.0
"01/09/2017, Barr School",,,,,,,,,3.8,16.0,,
"01/09/2017, Chippewa",,,,,,,,,9.5,40.0,,
"01/09/2017, Cleveland Fire St13",,,,,,,,,,,0.0,0.0
"01/09/2017, Cleveland Near Road",0.3,3.0,16.0,15.0,,,,,,,,
"01/09/2017, Eastlake",,,,,,,,,,,3.0,4.0
"01/09/2017, GT Craig NCore",0.4,5.0,26.0,25.0,0.023,21.0,39.0,36.0,11.3,47.0,8.0,11.0
"01/09/2017, GT Craig NCore",0.4,5.0,26.0,25.0,0.023,21.0,39.0,36.0,11.3,47.0,7.9,10.0
"01/09/2017, Galleria",0.7,8.0,,,,,,,,,,
"01/09/2017, Harvard Yards",,,,,,,,,,,5.0,7.0
"01/09/2017, Mentor",0.5,6.0,,,,,,,,,,
"01/09/2017, Painesville",,,,,,,,,6.2,26.0,1.0,1.0
"01/09/2017, St Theodosius",,,,,,,30.0,28.0,,,14.0,20.0
"01/10/2017, Barr School",,,,,,,,,5.5,23.0,,
"01/10/2017, Barr School",,,,,,,,,2.3,10.0,,
"01/10/2017, Brookpark",,,,,,,,,5.1,21.0,,
"01/10/2017, Chippewa",,,,,,,,,6.3,26.0,,
"01/10/2017, Cleveland Fire St13",,,,,,,,,5.6,23.0,0.0,0.0
"01/10/2017, Cleveland Near Road",0.2,2.0,10.0,9.0,,,,,,,,
"01/10/2017, District 6",,,,,,,,,5.0,21.0,,
"01/10/2017, Eastlake",,,,,,,,,,,3.0,4.0
"01/10/2017, GT Craig NCore",0.4,5.0,27.0,25.0,0.032,30.0,13.0,12.0,11.1,46.0,1.0,1.0
"01/10/2017, GT Craig NCore",0.4,5.0,27.0,25.0,0.032,30.0,13.0,12.0,11.1,46.0,1.3,1.0
"01/10/2017, GT Craig NCore",0.4,5.0,27.0,25.0,0.032,30.0,13.0,12.0,5.6,23.0,1.0,1.0
"01/10/2017, GT Craig NCore",0.4,5.0,27.0,25.0,0.032,30.0,13.0,12.0,5.6,23.0,1.3,1.0
"01/10/2017, Galleria",0.8,9.0,,,,,,,,,,
"01/10/2017, Harvard Yards",,,,,,,,,9.6,40.0,6.0,9.0
"01/10/2017, Mentor",0.4,5.0,,,,,,,,,,
"01/10/2017, Painesville",,,,,,,,,5.1,21.0,2.0,3.0
"01/10/2017, Painesville",,,,,,,,,5.6,23.0,2.0,3.0
"01/10/2017, St Theodosius",,,,,,,25.0,23.0,12.1,51.0,1.0,1.0
"01/10/2017, St Theodosius",,,,,,,25.0,23.0,12.0,50.0,1.0,1.0
"01/11/2017, Barr School",,,,,,,,,3.7,15.0,,
"01/11/2017, Chippewa",,,,,,,,,6.2,26.0,,
"01/11/2017, Cleveland Fire St13",,,,,,,,,,,0.0,0.0
"01/11/2017, Cleveland Near Road",0.1,1.0,,,,,,,,,,
"01/11/2017, Eastlake",,,,,,,,,,,3.0,4.0
"01/11/2017, GT Craig NCore",0.4,5.0,25.0,24.0,0.024,22.0,20.0,19.0,10.2,43.0,5.0,7.0
"01/11/2017, GT Craig NCore",0.4,5.0,25.0,24.0,0.024,22.0,20.0,19.0,10.2,43.0,4.9,6.0
"01/11/2017, Galleria",0.7,8.0,,,,,,,,,,
"01/11/2017, Harvard Yards",,,,,,,,,,,1.0,1.0
"01/11/2017, Mentor",0.3,3.0,,,,,,,,,,
"01/11/2017, Painesville",,,,,,,,,6.5,27.0,1.0,1.0
"01/11/2017, St Theodosius",,,,,,,26.0,24.0,,,15.0,21.0
"01/12/2017, Barr School",,,,,,,,,3.1,13.0,,
"01/12/2017, Chippewa",,,,,,,,,3.8,16.0,,
"01/12/2017, Cleveland Fire St13",,,,,,,,,,,0.0,0.0
"01/12/2017, Cleveland Near Road",0.4,5.0,25.0,24.0,,,,,,,,
"01/12/2017, Eastlake",,,,,,,,,,,2.0,3.0
"01/12/2017, GT Craig NCore",0.3,3.0,22.0,21.0,0.028,26.0,11.0,10.0,9.4,39.0,9.0,13.0
"01/12/2017, GT Craig NCore",0.3,3.0,22.0,21.0,0.028,26.0,11.0,10.0,9.4,39.0,9.7,13.0
"01/12/2017, Galleria",0.5,6.0,,,,,,,,,,
"01/12/2017, Harvard Yards",,,,,,,,,,,0.0,0.0
"01/12/2017, Mentor",0.4,5.0,,,,,,,,,,
"01/12/2017, Painesville",,,,,,,,,6.2,26.0,1.0,1.0
"01/12/2017, St Theodosius",,,,,,,9.0,8.0,,,1.0,1.0
"01/13/2017, Barr School",,,,,,,6.0,6.0,4.6,19.0,,
"01/13/2017, Barr School",,,,,,,6.0,6.0,5.1,21.0,,
