date_county,Daily Mean PM2.5 Concentration,DAILY_AQI_VALUE
"08/20/2017, Cuyahoga",16.6,60
"08/23/2017, Cuyahoga",6.0,25
"08/29/2017, Cuyahoga",12.5,52
"09/01/2017, Cuyahoga",4.1,17
"09/04/2017, Cuyahoga",12.4,52
"09/07/2017, Cuyahoga",3.5,15
"09/10/2017, Cuyahoga",7.7,32
"09/16/2017, Cuyahoga",16.2,60
"09/19/2017, Cuyahoga",19.6,67
"09/22/2017, Cuyahoga",16.8,61
"09/25/2017, Cuyahoga",19.3,66
"09/28/2017, Cuyahoga",2.2,9
"10/01/2017, Cuyahoga",8.5,35
"10/04/2017, Cuyahoga",10.1,42
"10/07/2017, Cuyahoga",11.7,49
"10/10/2017, Cuyahoga",16.5,60
"10/13/2017, Cuyahoga",9.1,38
"10/16/2017, Cuyahoga",3.2,13
"10/19/2017, Cuyahoga",8.0,33
"10/22/2017, Cuyahoga",17.4,62
"10/25/2017, Cuyahoga",3.2,13
"10/28/2017, Cuyahoga",3.4,14
"10/31/2017, Cuyahoga",4.4,18
"11/03/2017, Cuyahoga",3.3,14
"11/06/2017, Cuyahoga",2.6,11
"11/09/2017, Cuyahoga",17.6,63
"11/12/2017, Cuyahoga",18.0,63
"11/15/2017, Cuyahoga",21.5,71
"11/18/2017, Cuyahoga",13.7,54
"11/21/2017, Cuyahoga",5.2,22
"11/24/2017, Cuyahoga",9.7,40
"11/27/2017, Cuyahoga",15.7,59
"11/30/2017, Cuyahoga",15.4,58
"12/03/2017, Cuyahoga",33.7,96
"12/06/2017, Cuyahoga",6.5,27
"12/09/2017, Cuyahoga",21.2,70
"12/12/2017, Cuyahoga",4.6,19
"12/15/2017, Cuyahoga",21.4,71
"12/18/2017, Cuyahoga",13.4,54
"12/21/2017, Cuyahoga",6.7,28
"12/24/2017, Cuyahoga",13.8,55
"12/27/2017, Cuyahoga",15.4,58
"01/01/2017, Cuyahoga",11.9,50
"01/04/2017, Cuyahoga",8.9,37
"01/07/2017, Cuyahoga",17.1,62
"01/10/2017, Cuyahoga",5.6,23
"01/13/2017, Cuyahoga",7.9,33
"01/16/2017, Cuyahoga",24.3,77
"01/19/2017, Cuyahoga",7.8,33
"01/22/2017, Cuyahoga",8.7,36
"01/25/2017, Cuyahoga",7.8,33
"01/28/2017, Cuyahoga",12.0,50
"01/31/2017, Cuyahoga",9.0,38
"02/03/2017, Cuyahoga",13.3,54
"02/06/2017, Cuyahoga",20.7,69
"02/09/2017, Cuyahoga",7.7,32
"02/12/2017, Cuyahoga",19.3,66
"02/15/2017, Cuyahoga",12.3,51
"02/18/2017, Cuyahoga",11.2,47
"02/21/2017, Cuyahoga",13.2,53
"02/24/2017, Cuyahoga",8.5,35
"02/27/2017, Cuyahoga",6.4,27
"03/02/2017, Cuyahoga",4.8,20
"03/05/2017, Cuyahoga",8.9,37
"03/08/2017, Cuyahoga",6.0,25
"03/11/2017, Cuyahoga",7.4,31
"03/14/2017, Cuyahoga",3.3,14
"03/17/2017, Cuyahoga",13.9,55
"03/20/2017, Cuyahoga",15.2,58
"03/23/2017, Cuyahoga",7.3,30
"03/26/2017, Cuyahoga",10.4,43
"03/29/2017, Cuyahoga",8.6,36
"04/01/2017, Cuyahoga",13.5,54
"04/04/2017, Cuyahoga",6.4,27
"04/07/2017, Cuyahoga",3.2,13
"04/10/2017, Cuyahoga",9.2,38
"04/13/2017, Cuyahoga",5.4,23
"04/19/2017, Cuyahoga",8.9,37
"04/20/2017, Cuyahoga",10.0,42
"04/22/2017, Cuyahoga",3.8,16
"04/25/2017, Cuyahoga",4.2,18
"04/28/2017, Cuyahoga",6.9,29
"05/01/2017, Cuyahoga",7.7,32
"05/04/2017, Cuyahoga",6.6,28
"05/10/2017, Cuyahoga",4.9,20
"05/13/2017, Cuyahoga",8.5,35
"05/16/2017, Cuyahoga",10.5,44
"05/19/2017, Cuyahoga",5.6,23
"05/22/2017, Cuyahoga",7.0,29
"05/25/2017, Cuyahoga",4.5,19
"05/28/2017, Cuyahoga",10.0,42
"05/31/2017, Cuyahoga",9.5,40
"06/03/2017, Cuyahoga",9.6,40
"06/06/2017, Cuyahoga",3.2,13
"06/09/2017, Cuyahoga",10.3,43
"06/12/2017, Cuyahoga",14.9,57
"06/15/2017, Cuyahoga",15.2,58
"06/18/2017, Cuyahoga",12.4,52
"06/21/2017, Cuyahoga",5.9,25
"06/24/2017, Cuyahoga",12.2,51
"06/27/2017, Cuyahoga",6.5,27
"06/30/2017, Cuyahoga",7.2,30
"07/03/2017, Cuyahoga",11.3,47
"07/06/2017, Cuyahoga",18.2,64
"07/09/2017, Cuyahoga",10.0,42
"07/12/2017, Cuyahoga",12.6,52
"07/15/2017, Cuyahoga",7.9,33
"07/18/2017, Cuyahoga",12.0,50
"07/21/2017, Cuyahoga",11.1,46
"07/24/2017, Cuyahoga",6.2,26
"07/27/2017, Cuyahoga",12.1,51
"07/30/2017, Cuyahoga",8.2,34
"08/02/2017, Cuyahoga",17.6,63
"08/05/2017, Cuyahoga",8.3,35
"08/08/2017, Cuyahoga",7.8,33
"08/11/2017, Cuyahoga",13.4,54
"08/14/2017, Cuyahoga",9.2,38
"08/17/2017, Cuyahoga",10.9,45
"08/20/2017, Cuyahoga",12.5,52
"08/23/2017, Cuyahoga",10.1,42
"08/26/2017, Cuyahoga",8.2,34
"09/01/2017, Cuyahoga",2.2,9
"09/04/2017, Cuyahoga",13.8,55
"09/07/2017, Cuyahoga",6.1,25
"09/10/2017, Cuyahoga",4.2,18
"09/13/2017, Cuyahoga",6.3,26
"09/16/2017, Cuyahoga",13.3,54
"09/22/2017, Cuyahoga",11.8,49
"09/25/2017, Cuyahoga",11.8,49
"10/01/2017, Cuyahoga",6.0,25
"10/04/2017, Cuyahoga",8.4,35
"10/07/2017, Cuyahoga",7.4,31
"10/10/2017, Cuyahoga",12.8,52
"10/13/2017, Cuyahoga",5.9,25
"10/16/2017, Cuyahoga",4.0,17
"10/19/2017, Cuyahoga",10.8,45
"10/22/2017, Cuyahoga",12.2,51
"10/25/2017, Cuyahoga",4.8,20
"10/28/2017, Cuyahoga",3.9,16
"10/31/2017, Cuyahoga",6.4,27
"11/03/2017, Cuyahoga",4.5,19
"11/06/2017, Cuyahoga",3.0,13
"11/09/2017, Cuyahoga",12.8,52
"11/12/2017, Cuyahoga",14.8,57
"11/15/2017, Cuyahoga",12.9,53
"11/18/2017, Cuyahoga",5.6,23
"11/21/2017, Cuyahoga",6.8,28
"11/24/2017, Cuyahoga",7.5,31
"11/27/2017, Cuyahoga",15.9,59
"11/30/2017, Cuyahoga",11.7,49
"12/03/2017, Cuyahoga",27.4,83
"12/06/2017, Cuyahoga",6.1,25
"12/09/2017, Cuyahoga",12.5,52
"12/12/2017, Cuyahoga",5.1,21
"12/15/2017, Cuyahoga",11.9,50
"12/18/2017, Cuyahoga",13.4,54
"12/21/2017, Cuyahoga",6.0,25
"12/24/2017, Cuyahoga",13.5,54
"12/27/2017, Cuyahoga",15.6,58
"12/30/2017, Cuyahoga",16.3,60
"01/04/2017, Cuyahoga",5.7,24
"01/07/2017, Cuyahoga",15.7,59
"01/10/2017, Cuyahoga",11.1,46
"01/13/2017, Cuyahoga",7.7,32
"01/16/2017, Cuyahoga",28.5,85
"01/19/2017, Cuyahoga",8.7,36
"01/22/2017, Cuyahoga",9.7,40
"01/25/2017, Cuyahoga",7.8,33
"01/28/2017, Cuyahoga",12.8,52
"01/31/2017, Cuyahoga",7.8,33
"02/03/2017, Cuyahoga",8.5,35
"02/06/2017, Cuyahoga",20.6,69
