date_county,Daily Max 8-hour Ozone Concentration,DAILY_AQI_VALUE
"07/22/2017, Cuyahoga",0.04,37
"07/23/2017, Cuyahoga",0.047,44
"07/24/2017, Cuyahoga",0.028,26
"07/25/2017, Cuyahoga",0.028,26
"07/26/2017, Cuyahoga",0.049,45
"07/27/2017, Cuyahoga",0.054,50
"07/28/2017, Cuyahoga",0.029,27
"07/29/2017, Cuyahoga",0.031,29
"07/30/2017, Cuyahoga",0.032,30
"07/31/2017, Cuyahoga",0.04,37
"08/01/2017, Cuyahoga",0.053,49
"08/02/2017, Cuyahoga",0.064,80
"08/03/2017, Cuyahoga",0.043,40
"08/04/2017, Cuyahoga",0.031,29
"08/05/2017, Cuyahoga",0.034,31
"08/06/2017, Cuyahoga",0.038,35
"08/07/2017, Cuyahoga",0.041,38
"08/08/2017, Cuyahoga",0.039,36
"08/09/2017, Cuyahoga",0.048,44
"08/10/2017, Cuyahoga",0.046,43
"08/11/2017, Cuyahoga",0.039,36
"08/12/2017, Cuyahoga",0.048,44
"08/13/2017, Cuyahoga",0.027,25
"08/14/2017, Cuyahoga",0.044,41
"08/15/2017, Cuyahoga",0.056,54
"08/16/2017, Cuyahoga",0.039,36
"08/17/2017, Cuyahoga",0.023,21
"08/18/2017, Cuyahoga",0.041,38
"08/19/2017, Cuyahoga",0.05,46
"08/20/2017, Cuyahoga",0.052,48
"08/21/2017, Cuyahoga",0.047,44
"08/22/2017, Cuyahoga",0.035,32
"08/23/2017, Cuyahoga",0.033,31
"08/24/2017, Cuyahoga",0.032,30
"08/25/2017, Cuyahoga",0.028,26
"08/26/2017, Cuyahoga",0.039,36
"08/27/2017, Cuyahoga",0.042,39
"08/29/2017, Cuyahoga",0.037,34
"08/30/2017, Cuyahoga",0.051,47
"08/31/2017, Cuyahoga",0.027,25
"09/01/2017, Cuyahoga",0.028,26
"09/02/2017, Cuyahoga",0.026,24
"09/03/2017, Cuyahoga",0.042,39
"09/04/2017, Cuyahoga",0.047,44
"09/05/2017, Cuyahoga",0.037,34
"09/06/2017, Cuyahoga",0.026,24
"09/07/2017, Cuyahoga",0.02,19
"09/08/2017, Cuyahoga",0.031,29
"09/09/2017, Cuyahoga",0.028,26
"09/10/2017, Cuyahoga",0.027,25
"09/11/2017, Cuyahoga",0.029,27
"09/12/2017, Cuyahoga",0.032,30
"09/13/2017, Cuyahoga",0.028,26
"09/14/2017, Cuyahoga",0.021,19
"09/15/2017, Cuyahoga",0.032,30
"09/16/2017, Cuyahoga",0.041,38
"09/17/2017, Cuyahoga",0.045,42
"09/18/2017, Cuyahoga",0.041,38
"09/19/2017, Cuyahoga",0.027,25
"09/20/2017, Cuyahoga",0.041,38
"09/21/2017, Cuyahoga",0.042,39
"09/22/2017, Cuyahoga",0.039,36
"09/23/2017, Cuyahoga",0.05,46
"09/24/2017, Cuyahoga",0.054,50
"09/25/2017, Cuyahoga",0.053,49
"09/26/2017, Cuyahoga",0.051,47
"09/27/2017, Cuyahoga",0.046,43
"09/28/2017, Cuyahoga",0.034,31
"09/29/2017, Cuyahoga",0.036,33
"09/30/2017, Cuyahoga",0.031,29
"10/01/2017, Cuyahoga",0.035,32
"10/02/2017, Cuyahoga",0.037,34
"10/03/2017, Cuyahoga",0.041,38
"10/04/2017, Cuyahoga",0.035,32
"10/05/2017, Cuyahoga",0.027,25
"10/06/2017, Cuyahoga",0.021,19
"10/07/2017, Cuyahoga",0.039,36
"10/08/2017, Cuyahoga",0.027,25
"10/09/2017, Cuyahoga",0.021,19
"10/10/2017, Cuyahoga",0.032,30
"10/11/2017, Cuyahoga",0.012,11
"10/12/2017, Cuyahoga",0.013,12
"10/13/2017, Cuyahoga",0.028,26
"10/14/2017, Cuyahoga",0.044,41
"10/15/2017, Cuyahoga",0.031,29
"10/16/2017, Cuyahoga",0.029,27
"10/17/2017, Cuyahoga",0.036,33
"10/18/2017, Cuyahoga",0.037,34
"10/19/2017, Cuyahoga",0.045,42
"10/20/2017, Cuyahoga",0.032,30
"10/21/2017, Cuyahoga",0.043,40
"10/22/2017, Cuyahoga",0.043,40
"10/23/2017, Cuyahoga",0.032,30
"10/24/2017, Cuyahoga",0.03,28
"10/25/2017, Cuyahoga",0.025,23
"10/26/2017, Cuyahoga",0.03,28
"10/27/2017, Cuyahoga",0.038,35
"10/28/2017, Cuyahoga",0.019,18
"10/29/2017, Cuyahoga",0.027,25
"10/30/2017, Cuyahoga",0.021,19
"10/31/2017, Cuyahoga",0.024,22
"11/01/2017, Cuyahoga",0.022,20
"11/02/2017, Cuyahoga",0.029,27
"11/03/2017, Cuyahoga",0.024,22
"11/04/2017, Cuyahoga",0.017,16
