date_county,Daily Mean PM10 Concentration,DAILY_AQI_VALUE
"05/31/2017, Cuyahoga",42,39
"06/06/2017, Cuyahoga",13,12
"06/12/2017, Cuyahoga",41,38
"06/18/2017, Cuyahoga",29,27
"06/24/2017, Cuyahoga",32,30
"06/30/2017, Cuyahoga",19,18
"07/06/2017, Cuyahoga",43,40
"07/12/2017, Cuyahoga",26,24
"07/18/2017, Cuyahoga",28,26
"07/24/2017, Cuyahoga",22,20
"07/30/2017, Cuyahoga",22,20
"08/05/2017, Cuyahoga",19,18
"08/11/2017, Cuyahoga",23,21
"08/17/2017, Cuyahoga",24,22
"08/23/2017, Cuyahoga",31,29
"08/29/2017, Cuyahoga",22,20
"09/04/2017, Cuyahoga",28,26
"09/10/2017, Cuyahoga",10,9
"09/16/2017, Cuyahoga",28,26
"09/22/2017, Cuyahoga",33,31
"09/28/2017, Cuyahoga",17,16
"10/04/2017, Cuyahoga",44,41
"10/10/2017, Cuyahoga",35,32
"10/22/2017, Cuyahoga",19,18
"10/28/2017, Cuyahoga",11,10
"11/17/2017, Cuyahoga",14,13
"11/21/2017, Cuyahoga",23,21
"11/28/2017, Cuyahoga",22,20
"12/03/2017, Cuyahoga",41,38
"12/09/2017, Cuyahoga",22,20
"12/15/2017, Cuyahoga",29,27
"12/21/2017, Cuyahoga",18,17
"12/27/2017, Cuyahoga",26,24
"01/01/2017, Cuyahoga",29,27
"01/07/2017, Cuyahoga",30,28
"01/13/2017, Cuyahoga",27,25
"01/19/2017, Cuyahoga",21,19
"01/25/2017, Cuyahoga",24,22
"01/31/2017, Cuyahoga",17,16
"02/06/2017, Cuyahoga",48,44
"02/12/2017, Cuyahoga",24,22
"02/18/2017, Cuyahoga",27,25
"02/24/2017, Cuyahoga",44,41
"03/02/2017, Cuyahoga",15,14
"03/14/2017, Cuyahoga",23,21
"03/20/2017, Cuyahoga",50,46
"03/26/2017, Cuyahoga",30,28
"04/01/2017, Cuyahoga",13,12
"04/07/2017, Cuyahoga",10,9
"04/13/2017, Cuyahoga",31,29
"04/19/2017, Cuyahoga",35,32
"04/25/2017, Cuyahoga",26,24
"05/01/2017, Cuyahoga",32,30
"05/07/2017, Cuyahoga",10,9
"05/19/2017, Cuyahoga",24,22
"05/25/2017, Cuyahoga",12,11
"05/31/2017, Cuyahoga",43,40
"06/06/2017, Cuyahoga",15,14
"06/12/2017, Cuyahoga",38,35
"06/18/2017, Cuyahoga",25,23
"06/24/2017, Cuyahoga",15,14
"06/30/2017, Cuyahoga",22,20
"07/06/2017, Cuyahoga",60,53
"07/12/2017, Cuyahoga",24,22
"07/18/2017, Cuyahoga",58,52
"07/24/2017, Cuyahoga",18,17
"07/30/2017, Cuyahoga",16,15
"08/05/2017, Cuyahoga",16,15
"08/11/2017, Cuyahoga",36,33
"08/17/2017, Cuyahoga",53,49
"08/23/2017, Cuyahoga",22,20
"08/29/2017, Cuyahoga",26,24
"09/04/2017, Cuyahoga",28,26
"09/10/2017, Cuyahoga",21,19
"09/16/2017, Cuyahoga",40,37
"09/22/2017, Cuyahoga",65,56
"09/28/2017, Cuyahoga",16,15
"10/04/2017, Cuyahoga",62,54
"10/10/2017, Cuyahoga",57,52
"10/16/2017, Cuyahoga",17,16
"10/22/2017, Cuyahoga",38,35
"10/28/2017, Cuyahoga",8,7
"11/03/2017, Cuyahoga",14,13
"11/09/2017, Cuyahoga",49,45
"11/15/2017, Cuyahoga",48,44
"11/21/2017, Cuyahoga",18,17
"11/27/2017, Cuyahoga",36,33
"12/03/2017, Cuyahoga",56,51
"12/09/2017, Cuyahoga",27,25
"12/15/2017, Cuyahoga",31,29
"12/21/2017, Cuyahoga",23,21
"12/27/2017, Cuyahoga",19,18
"01/01/2017, Cuyahoga",21,19
"01/02/2017, Cuyahoga",18,17
"01/03/2017, Cuyahoga",9,8
"01/04/2017, Cuyahoga",19,18
"01/05/2017, Cuyahoga",11,10
"01/06/2017, Cuyahoga",17,16
"01/07/2017, Cuyahoga",17,16
"01/08/2017, Cuyahoga",10,9
"01/09/2017, Cuyahoga",39,36
"01/10/2017, Cuyahoga",13,12
"01/11/2017, Cuyahoga",20,19
"01/12/2017, Cuyahoga",11,10
"01/13/2017, Cuyahoga",15,14
"01/14/2017, Cuyahoga",12,11
"01/15/2017, Cuyahoga",21,19
"01/16/2017, Cuyahoga",39,36
"01/17/2017, Cuyahoga",12,11
"01/18/2017, Cuyahoga",5,5
"01/19/2017, Cuyahoga",11,10
"01/20/2017, Cuyahoga",13,12
"01/21/2017, Cuyahoga",19,18
"01/22/2017, Cuyahoga",16,15
"01/23/2017, Cuyahoga",11,10
"01/24/2017, Cuyahoga",7,6
"01/25/2017, Cuyahoga",15,14
"01/26/2017, Cuyahoga",5,5
"01/27/2017, Cuyahoga",7,6
"01/28/2017, Cuyahoga",10,9
"01/29/2017, Cuyahoga",7,6
"01/30/2017, Cuyahoga",9,8
"01/31/2017, Cuyahoga",10,9
"02/01/2017, Cuyahoga",8,7
"02/02/2017, Cuyahoga",12,11
"02/03/2017, Cuyahoga",22,20
"02/04/2017, Cuyahoga",12,11
"02/05/2017, Cuyahoga",16,15
"02/06/2017, Cuyahoga",35,32
"02/07/2017, Cuyahoga",15,14
"02/08/2017, Cuyahoga",10,9
"02/09/2017, Cuyahoga",15,14
"02/10/2017, Cuyahoga",35,32
"02/11/2017, Cuyahoga",22,20
"02/12/2017, Cuyahoga",12,11
"02/13/2017, Cuyahoga",25,23
"02/14/2017, Cuyahoga",19,18
"02/15/2017, Cuyahoga",9,8
"02/16/2017, Cuyahoga",28,26
"02/17/2017, Cuyahoga",49,45
"02/18/2017, Cuyahoga",20,19
"02/19/2017, Cuyahoga",28,26
"02/20/2017, Cuyahoga",50,46
"02/21/2017, Cuyahoga",71,59
"02/22/2017, Cuyahoga",28,26
"02/23/2017, Cuyahoga",27,25
"02/24/2017, Cuyahoga",32,30
"02/25/2017, Cuyahoga",5,5
"02/26/2017, Cuyahoga",8,7
"02/27/2017, Cuyahoga",14,13
"02/28/2017, Cuyahoga",29,27
"03/01/2017, Cuyahoga",11,10
"03/02/2017, Cuyahoga",12,11
"03/03/2017, Cuyahoga",14,13
"03/04/2017, Cuyahoga",10,9
"03/05/2017, Cuyahoga",14,13
"03/06/2017, Cuyahoga",46,43
"03/07/2017, Cuyahoga",14,13
"04/13/2017, Cuyahoga",18,17
"04/14/2017, Cuyahoga",24,22
"04/15/2017, Cuyahoga",33,31
"04/16/2017, Cuyahoga",17,16
"04/17/2017, Cuyahoga",13,12
"04/18/2017, Cuyahoga",24,22
"04/19/2017, Cuyahoga",27,25
"04/20/2017, Cuyahoga",22,20
"04/21/2017, Cuyahoga",6,6
"04/22/2017, Cuyahoga",5,5
"04/23/2017, Cuyahoga",14,13
"04/24/2017, Cuyahoga",30,28
"04/25/2017, Cuyahoga",19,18
"04/26/2017, Cuyahoga",63,55
"04/27/2017, Cuyahoga",57,52
"04/28/2017, Cuyahoga",22,20
"04/29/2017, Cuyahoga",8,7
"04/30/2017, Cuyahoga",17,16
"05/01/2017, Cuyahoga",21,19
"05/02/2017, Cuyahoga",6,6
"05/03/2017, Cuyahoga",8,7
"05/04/2017, Cuyahoga",12,11
"05/05/2017, Cuyahoga",3,3
"05/06/2017, Cuyahoga",4,4
"05/07/2017, Cuyahoga",6,6
"05/08/2017, Cuyahoga",25,23
"05/09/2017, Cuyahoga",54,50
"05/10/2017, Cuyahoga",23,21
"05/11/2017, Cuyahoga",12,11
"05/12/2017, Cuyahoga",15,14
