date_sitename,co_max,co_aqi_val,no2_max,no2_aqi_val,ozone_max,ozone_aqi_val,pm10_mean,pm10_aqi_val,pm2.5_mean,pm2.5_aqi_val,so2_max,so2_aqi_val,cumulitive_aqi
"02/28/2017, GT Craig NCore",0.6,7.0,25.0,24.0,0.029,27.0,29.0,27.0,13.1,53.0,6.0,9.0,53.0
"03/01/2017, GT Craig NCore",0.4,5.0,29.0,27.0,0.037,34.0,11.0,10.0,,,1.0,1.0,34.0
"03/02/2017, GT Craig NCore",0.2,2.0,9.0,8.0,0.038,35.0,12.0,11.0,2.8,12.0,0.0,0.0,35.0
"03/03/2017, GT Craig NCore",0.2,2.0,14.0,13.0,0.038,35.0,14.0,13.0,2.7,11.0,0.0,0.0,35.0
"03/04/2017, GT Craig NCore",0.2,2.0,12.0,11.0,0.04,37.0,10.0,9.0,1.4,6.0,0.0,0.0,37.0
"03/05/2017, GT Craig NCore",0.4,5.0,14.0,13.0,0.035,32.0,14.0,13.0,,,3.0,4.0,32.0
"03/06/2017, GT Craig NCore",,,43.0,41.0,0.037,34.0,46.0,43.0,,,12.0,17.0,43.0
"03/07/2017, GT Craig NCore",0.4,5.0,11.0,10.0,0.037,34.0,14.0,13.0,8.2,34.0,1.0,1.0,34.0
"03/09/2017, GT Craig NCore",,,,,0.035,32.0,,,,,,,32.0
"03/10/2017, GT Craig NCore",0.2,2.0,10.0,9.0,0.038,35.0,,,4.2,18.0,1.0,1.0,35.0
"03/11/2017, GT Craig NCore",0.2,2.0,17.0,16.0,0.04,37.0,,,2.8,12.0,1.0,1.0,37.0
"03/12/2017, GT Craig NCore",0.2,2.0,18.0,17.0,0.04,37.0,,,0.7,3.0,1.0,1.0,37.0
"03/13/2017, GT Craig NCore",0.3,3.0,16.0,15.0,0.032,30.0,,,2.7,11.0,0.0,0.0,30.0
"03/14/2017, GT Craig NCore",0.2,2.0,8.0,8.0,0.038,35.0,,,1.6,7.0,0.0,0.0,35.0
"03/15/2017, GT Craig NCore",0.2,2.0,9.0,8.0,0.043,40.0,,,1.9,8.0,0.0,0.0,40.0
"03/16/2017, GT Craig NCore",0.3,3.0,40.0,38.0,0.04,37.0,,,4.0,17.0,1.0,1.0,38.0
"03/17/2017, GT Craig NCore",0.7,8.0,49.0,46.0,0.033,31.0,,,16.5,60.0,8.0,11.0,60.0
"03/18/2017, GT Craig NCore",0.4,5.0,19.0,18.0,0.028,26.0,,,12.3,51.0,1.0,1.0,51.0
"03/19/2017, GT Craig NCore",0.3,3.0,35.0,33.0,0.038,35.0,,,20.7,69.0,1.0,1.0,69.0
"03/20/2017, GT Craig NCore",0.5,6.0,36.0,34.0,0.021,19.0,,,19.1,66.0,4.0,6.0,66.0
"03/21/2017, GT Craig NCore",0.5,6.0,37.0,35.0,0.038,35.0,,,16.8,61.0,0.0,0.0,61.0
"03/22/2017, GT Craig NCore",0.3,3.0,20.0,19.0,,,,,1.2,5.0,0.0,0.0,19.0
"03/23/2017, GT Craig NCore",0.6,7.0,45.0,42.0,0.036,33.0,,,10.0,42.0,3.0,4.0,42.0
"03/24/2017, GT Craig NCore",0.5,6.0,20.0,19.0,0.05,46.0,,,13.5,54.0,2.0,3.0,54.0
"03/25/2017, GT Craig NCore",0.6,7.0,42.0,40.0,0.022,20.0,,,15.2,58.0,3.0,4.0,58.0
"03/26/2017, GT Craig NCore",0.5,6.0,28.0,26.0,0.029,27.0,,,12.4,52.0,3.0,4.0,52.0
"03/27/2017, GT Craig NCore",0.3,3.0,19.0,18.0,0.025,23.0,,,7.7,32.0,0.0,0.0,32.0
"03/28/2017, GT Craig NCore",0.4,5.0,33.0,31.0,0.027,25.0,,,5.8,24.0,0.0,0.0,31.0
"03/29/2017, GT Craig NCore",0.3,3.0,32.0,30.0,0.034,31.0,,,5.8,24.0,0.0,0.0,31.0
"03/30/2017, GT Craig NCore",0.3,3.0,19.0,18.0,0.026,24.0,,,5.6,23.0,0.0,0.0,24.0
"03/31/2017, GT Craig NCore",0.4,5.0,30.0,28.0,0.028,26.0,,,7.1,30.0,0.0,0.0,30.0
"04/01/2017, GT Craig NCore",0.3,3.0,28.0,26.0,0.044,41.0,,,6.2,26.0,1.0,1.0,41.0
"04/02/2017, GT Craig NCore",0.5,6.0,29.0,27.0,0.041,38.0,,,11.7,49.0,2.0,3.0,49.0
"04/03/2017, GT Craig NCore",,,21.0,20.0,0.037,34.0,,,9.4,39.0,6.0,9.0,39.0
"04/04/2017, GT Craig NCore",0.3,3.0,,,0.036,33.0,,,5.3,22.0,0.0,0.0,33.0
"04/05/2017, GT Craig NCore",0.3,3.0,27.0,25.0,0.04,37.0,,,3.7,15.0,0.0,0.0,37.0
"04/06/2017, GT Craig NCore",0.3,3.0,21.0,20.0,0.032,30.0,,,4.2,18.0,1.0,1.0,30.0
"04/07/2017, GT Craig NCore",0.3,3.0,33.0,31.0,0.039,36.0,,,0.0,0.0,0.0,0.0,36.0
"04/08/2017, GT Craig NCore",0.5,6.0,43.0,41.0,0.037,34.0,,,5.2,22.0,3.0,4.0,41.0
